"[[8.43183006]
 [8.43164958]
 [8.43151119]
 [8.43139017]
 [8.4312804 ]
 [8.43117911]
 [8.43108467]
 [8.43099595]
 [8.43091221]
 [8.43083294]
 [8.43075775]
 [8.4306863 ]
 [8.43061826]
 [8.43055335]
 [8.43049134]
 [8.43043231]
 [8.43037649]
 [8.43032373]
 [8.43027359]
 [8.43022619]
 [8.43018191]
 [8.43014026]
 [8.43010077]
 [8.43006375]
 [8.43002942]
 [8.42999779]
 [8.42996887]
 [8.4299427 ]
 [8.42991945]
 [8.42989929]
 [8.42988234]
 [8.42986858]
 [8.42985799]
 [8.42985097]
 [8.42984792]
 [8.42984945]
 [8.42985647]
 [8.42987047]
 [8.42989442]
 [8.42993455]
 [4.21501912]]"
[8.47315488],[8.4699947],[8.46690319],[8.46387881],[8.46092718],[8.45805414],[8.45526407],[8.45255699],[8.44993502],[8.44740266],[8.44496211],[8.44261332],[8.4403535],[8.43817988],[8.43608694],[8.43406731],[8.43211066],[8.43021299],[8.42838986],[8.42666137],[8.42504096],[8.42352182],[8.42208554],[8.42072265],[8.4194336],[8.4182204],[8.41708395],[8.41602556],[8.41504553],[8.41414617],[8.41332951],[8.41259405],[8.41193711],[8.41135705],[8.41085299],[8.41042495],[8.41007352],[8.40979934],[8.40960378],[8.4094903],[4.20473559]
[8.4637729],[8.46129678],[8.45888404],[8.45652881],[8.45423351],[8.45200064],[8.44983205],[8.44772714],[8.44568684],[8.44371354],[8.44180818],[8.43997062],[8.43819943],[8.43649385],[8.43485199],[8.43327114],[8.4317453],[8.43027211],[8.42885858],[8.42751444],[8.42624603],[8.42504888],[8.42391515],[8.42284084],[8.42182661],[8.42087338],[8.41998141],[8.4191515],[8.41838361],[8.41767868],[8.41703753],[8.41645925],[8.41594267],[8.41548729],[8.41509276],[8.41475919],[8.41448692],[8.41427626],[8.41412781],[8.41404317],[4.20701772]
[8.45823808],[8.45616505],[8.45415274],[8.45219185],[8.45028296],[8.44842682],[8.44662398],[8.44487359],[8.44317598],[8.44153231],[8.43994287],[8.43840745],[8.43692537],[8.43549686],[8.43412195],[8.43280038],[8.43152858],[8.43030518],[8.4291324],[8.42801454],[8.42695405],[8.42594759],[8.42499335],[8.42409025],[8.42323897],[8.42243978],[8.42169261],[8.42099797],[8.42035566],[8.41976587],[8.4192287],[8.41874358],[8.41831021],[8.41792866],[8.41759889],[8.41732101],[8.41709522],[8.41692161],[8.41680038],[8.41673233],[4.20836584]
[8.45419525],[8.45241722],[8.45069725],[8.4490234],[8.44739511],[8.44581228],[8.44427482],[8.44278185],[8.44133336],[8.43992988],[8.43857133],[8.43725748],[8.43598804],[8.4347637],[8.4335854],[8.43245412],[8.43136762],[8.43032516],[8.42932633],[8.42837275],[8.42746483],[8.42659978],[8.42577903],[8.42500302],[8.42427234],[8.42358689],[8.42294646],[8.42235137],[8.42180142],[8.42129636],[8.42083589],[8.42041965],[8.42004778],[8.41972066],[8.41943839],[8.41920107],[8.41900879],[8.41886154],[8.41875935],[8.41870273],[4.20935355]
[8.45118737],[8.44962909],[8.44812646],[8.4466655],[8.44524494],[8.44386428],[8.44252314],[8.44122073],[8.43995685],[8.43873167],[8.43754498],[8.43639654],[8.43528625],[8.43421496],[8.43318398],[8.43219483],[8.43124604],[8.4303372],[8.42946664],[8.42863467],[8.42784072],[8.42708234],[8.42636248],[8.42568235],[8.42504241],[8.42444239],[8.42388198],[8.42336144],[8.42288057],[8.42243892],[8.422036],[8.42167154],[8.4213459],[8.42105961],[8.4208128],[8.42060557],[8.42043796],[8.4203099],[8.42022138],[8.4201729],[4.21009049]
[8.44890595],[8.44751441],[8.44617648],[8.44487655],[8.44361291],[8.44238486],[8.44119196],[8.44003348],[8.43890916],[8.43781899],[8.43676272],[8.43574008],[8.43475109],[8.4337966],[8.43287803],[8.43199702],[8.43115257],[8.43034448],[8.4295705],[8.42883039],[8.42812323],[8.42744671],[8.42680442],[8.42619786],[8.4256274],[8.42509266],[8.42459334],[8.42412963],[8.42370139],[8.42330807],[8.42294908],[8.42262424],[8.42233397],[8.42207884],[8.42185901],[8.42167456],[8.4215255],[8.42141175],[8.42133331],[8.42129083],[4.21065088]
[8.447141],[8.44587844],[8.44466778],[8.44349216],[8.44234952],[8.44123911],[8.44016047],[8.43911298],[8.43809635],[8.4371105],[8.43615514],[8.43523004],[8.43433526],[8.43347158],[8.43264036],[8.43184322],[8.43107943],[8.4303489],[8.42964922],[8.42897998],[8.42834015],[8.42772762],[8.427146],[8.42659689],[8.42608058],[8.42559665],[8.42514483],[8.42472527],[8.42433786],[8.42398205],[8.42365724],[8.42336325],[8.42310053],[8.42286965],[8.42267075],[8.42250389],[8.42236909],[8.42226626],[8.42219548],[8.42215757],[4.2110854]
[8.44574841],[8.44458753],[8.44347718],[8.44239946],[8.44135207],[8.44033422],[8.43934552],[8.4383854],[8.4374536],[8.43654997],[8.43567426],[8.43482626],[8.43400602],[8.43321426],[8.43245221],[8.43172137],[8.43102118],[8.43035163],[8.42971035],[8.42909689],[8.42851034],[8.4279487],[8.42741537],[8.42691192],[8.42643858],[8.42599494],[8.42558074],[8.42519611],[8.42484099],[8.42451486],[8.42421711],[8.42394759],[8.42370673],[8.42349505],[8.42331269],[8.42315971],[8.4230361],[8.42294182],[8.42287701],[8.42284269],[4.21142892]
[8.44462825],[8.44354908],[8.4425193],[8.44152023],[8.44054932],[8.43960581],[8.43868932],[8.43779938],[8.43693571],[8.43609819],[8.43528657],[8.43450065],[8.43374051],[8.43300676],[8.43230048],[8.43162303],[8.43097399],[8.43035337],[8.42975893],[8.42919028],[8.42864668],[8.42812622],[8.42763199],[8.42716546],[8.42672683],[8.4263157],[8.42593184],[8.42557538],[8.42524627],[8.42494404],[8.42466812],[8.42441837],[8.42419515],[8.42399897],[8.42382993],[8.42368811],[8.42357348],[8.42348603],[8.42342601],[8.4233946],[4.21170569]
[8.44371056],[8.44269822],[8.44173437],[8.44079966],[8.43989135],[8.43900868],[8.4381513],[8.43731879],[8.43651092],[8.43572754],[8.43496844],[8.43423343],[8.43352259],[8.43283645],[8.43217595],[8.43154228],[8.43093513],[8.43035453],[8.42979839],[8.42926644],[8.42875807],[8.42827151],[8.42780945],[8.42737329],[8.42696317],[8.42657873],[8.42621978],[8.42588642],[8.42557864],[8.42529602],[8.42503801],[8.42480449],[8.42459577],[8.42441231],[8.4242542],[8.42412151],[8.42401424],[8.42393238],[8.42387627],[8.42384727],[4.21193274]
