"X","Y","Z","TimeStep1 - pressure","TimeStep2 - pressure","TimeStep3 - pressure","TimeStep4 - pressure","TimeStep5 - pressure","TimeStep6 - pressure","TimeStep7 - pressure","TimeStep8 - pressure","TimeStep9 - pressure","TimeStep10 - pressure","TimeStep11 - pressure","TimeStep12 - pressure","TimeStep13 - pressure","TimeStep14 - pressure","TimeStep15 - pressure","TimeStep16 - pressure","TimeStep17 - pressure","TimeStep18 - pressure","TimeStep19 - pressure","TimeStep20 - pressure","TimeStep21 - pressure","TimeStep22 - pressure","TimeStep23 - pressure","TimeStep24 - pressure","TimeStep25 - pressure","TimeStep26 - pressure","TimeStep27 - pressure","TimeStep28 - pressure","TimeStep29 - pressure","TimeStep30 - pressure","TimeStep31 - pressure","TimeStep32 - pressure","TimeStep33 - pressure","TimeStep34 - pressure","TimeStep35 - pressure","TimeStep36 - pressure","TimeStep37 - pressure","TimeStep38 - pressure","TimeStep39 - pressure","TimeStep40 - pressure","TimeStep41 - pressure","TimeStep42 - pressure","TimeStep43 - pressure","TimeStep44 - pressure","TimeStep45 - pressure","TimeStep46 - pressure","TimeStep47 - pressure","TimeStep48 - pressure","TimeStep49 - pressure","TimeStep50 - pressure","TimeStep51 - pressure","TimeStep52 - pressure","TimeStep53 - pressure","TimeStep54 - pressure","TimeStep55 - pressure","TimeStep56 - pressure","TimeStep57 - pressure","TimeStep58 - pressure","TimeStep59 - pressure","TimeStep60 - pressure","TimeStep61 - pressure","TimeStep62 - pressure","TimeStep63 - pressure","TimeStep64 - pressure","TimeStep65 - pressure","TimeStep66 - pressure","TimeStep67 - pressure","TimeStep68 - pressure","TimeStep69 - pressure","TimeStep70 - pressure","TimeStep71 - pressure","TimeStep72 - pressure","TimeStep73 - pressure","TimeStep74 - pressure","TimeStep75 - pressure","TimeStep76 - pressure","TimeStep77 - pressure","TimeStep78 - pressure","TimeStep79 - pressure","TimeStep80 - pressure","TimeStep81 - pressure","TimeStep82 - pressure","TimeStep83 - pressure","TimeStep84 - pressure","TimeStep85 - pressure","TimeStep86 - pressure","TimeStep87 - pressure","TimeStep88 - pressure","TimeStep89 - pressure","TimeStep90 - pressure","TimeStep91 - pressure","TimeStep92 - pressure","TimeStep93 - pressure","TimeStep94 - pressure","TimeStep95 - pressure","TimeStep96 - pressure","TimeStep97 - pressure","TimeStep98 - pressure","TimeStep99 - pressure","TimeStep100 - pressure","TimeStep101 - pressure","TimeStep102 - pressure","TimeStep103 - pressure","TimeStep104 - pressure","TimeStep105 - pressure","TimeStep106 - pressure","TimeStep107 - pressure","TimeStep108 - pressure","TimeStep109 - pressure","TimeStep110 - pressure","TimeStep111 - pressure","TimeStep112 - pressure","TimeStep113 - pressure","TimeStep114 - pressure","TimeStep115 - pressure","TimeStep116 - pressure","TimeStep117 - pressure","TimeStep118 - pressure","TimeStep119 - pressure","TimeStep120 - pressure","TimeStep121 - pressure","TimeStep122 - pressure","TimeStep123 - pressure","TimeStep124 - pressure","TimeStep125 - pressure","TimeStep126 - pressure","TimeStep127 - pressure","TimeStep128 - pressure","TimeStep129 - pressure","TimeStep130 - pressure","TimeStep131 - pressure","TimeStep132 - pressure","TimeStep133 - pressure","TimeStep134 - pressure","TimeStep135 - pressure","TimeStep136 - pressure","TimeStep137 - pressure","TimeStep138 - pressure","TimeStep139 - pressure","TimeStep140 - pressure","TimeStep141 - pressure","TimeStep142 - pressure","TimeStep143 - pressure","TimeStep144 - pressure","TimeStep145 - pressure","TimeStep146 - pressure","TimeStep147 - pressure","TimeStep148 - pressure","TimeStep149 - pressure","TimeStep150 - pressure","TimeStep151 - pressure","TimeStep152 - pressure","TimeStep153 - pressure"
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.0,0.0,0.0,7539517419.92503,20109071648.660534,33746265797.05129,46298006681.865295,57043816529.579735,65941045023.4591,73191923218.90337,79055946710.45682,83780414142.22865,87579478712.02834,90631378147.33704,93081780681.50005,95048687136.69633,96627259610.09654,97894064030.12753,98910628469.14413,99726363939.30461,100380936377.17488,100906182311.5502,101327651464.3479,101665846969.4669,101937221618.95952,102154977747.98756,102329709291.52243,102469917078.5134,102582422356.48755,102672698630.60481,102745137946.0585,102803264561.81898,102849906408.07648,102887332667.58675,102917364173.78539,102941461996.38947,102960798524.15614,102976314503.00334,102988764804.44269,102998755151.00232,103006771585.37164,103013204116.977,103018365696.42073,103022507440.91379,103025830851.43813,103028497616.01807,103030637476.04219,103032354538.34207,103033732340.11813,103034837913.12737,103035725044.86147,103036436895.37436,103037008097.07214,103037466439.6225,103037834221.9563,103038129337.13805,103038366142.88564,103038556160.09093,103038708633.32559,103038830980.60059,103038929154.26202,103039007930.5796,103039071142.11844,103039121864.19798,103039162564.50987,103039195223.17473,103039221429.07674,103039242457.16537,103039259330.48322,103039272869.93791,103039283734.24077,103039292451.95337,103039299447.20334,103039305060.31808,103039309564.38272,103039313178.52547,103039316078.57878,103039318405.63393,103039320272.90495,103039321771.23695,103039322973.52559,103039323938.26366,103039324712.38689,103039325333.55737,103039325831.99573,103039326231.9517,103039326552.88359,103039326810.40512,103039327017.04503,103039327182.85666,103039327315.90688,103039327422.66876,103039327508.33641,103039327577.07776,103039327632.23698,103039327676.49776,103039327712.01341,103039327740.51181,103039327763.37941,103039327781.72885,103039327796.45271,103039327808.26743,103039327817.74779,103039327825.35497,103039327831.45912,103039327836.35722,103039327840.28752,103039327843.44125,103039327845.9719,103039327848.00255,103039327849.63193,103039327850.93935,103039327851.9885,103039327852.83032,103039327853.50586,103039327854.0479,103039327854.48286,103039327854.83186,103039327855.1119,103039327855.33664,103039327855.51695,103039327855.66162,103039327855.77776,103039327855.8709,103039327855.94563,103039327856.00568,103039327856.05376,103039327856.0924,103039327856.12338,103039327856.14822,103039327856.1682,103039327856.18422,103039327856.19707,103039327856.20738,103039327856.21564,103039327856.22232,103039327856.22758,103039327856.23187,103039327856.2353,103039327856.23805,103039327856.2403,103039327856.24203,103039327856.24348,103039327856.24464,103039327856.24554,103039327856.24626,103039327856.24681,103039327856.24731,103039327856.2477,103039327856.24799,103039327856.24825,103039327856.24843,103039327856.24858,103039327856.2487,103039327856.24884
0.2,0.0,0.0,0.0,15639248175.053896,41071458910.1282,68310516139.2816,93226590255.77066,114497939742.82951,132088571857.13963,146416870222.87192,158002187030.81677,167335326643.7811,174840082328.20352,180868788212.1022,185709273689.318,189594660367.55557,192712937371.6577,195215353835.72778,197223451698.0594,198834836578.886,200127863726.1545,201165422302.27475,201997982640.27325,202666046155.3104,203202113309.95474,203632263689.4766,203977424306.06073,204254387499.00928,204476627801.63187,204654957448.38843,204798052382.93713,204912874344.26703,205005009559.73178,205078940520.03238,205138264057.0783,205185866333.91785,205224063259.96326,205254713162.76385,205279307197.90103,205299041895.53183,205314877373.05145,205327584045.98578,205337780109.6569,205345961615.14786,205352526602.7997,205357794467.36514,205362021496.95782,205365413341.78522,205368135019.28485,205370318942.4267,205372071361.7674,205373477534.67105,205374605873.18512,205375511272.37106,205376237781.01706,205376820744.66534,205377288525.217,205377663880.7734,205377965072.84555,205378206754.79977,205378400684.76117,205378556297.66205,205378681164.26187,205378781359.47488,205378861757.92206,205378926271.08688,205378978037.61465,205379019576.0106,205379052907.1692,205379079652.6924,205379101113.78284,205379118334.54904,205379132152.8027,205379143240.81876,205379152138.04294,205379159277.33618,205379165006.034,205379169602.84442,205379173291.40805,205379176251.1781,205379178626.15106,205379180531.8721,205379182061.05716,205379183288.10278,205379184272.70636,205379185062.77,205379185696.73138,205379186205.4334,205379186613.62506,205379186941.16544,205379187203.9898,205379187414.88483,205379187584.11072,205379187719.90063,205379187828.8609,205379187916.2926,205379187986.44943,205379188042.7445,205379188087.9167,205379188124.16364,205379188153.24884,205379188176.58746,205379188195.31454,205379188210.3417,205379188222.3997,205379188232.07523,205379188239.83902,205379188246.06885,205379188251.0679,205379188255.07907,205379188258.29776,205379188260.8805,205379188262.95288,205379188264.61588,205379188265.95032,205379188267.0211,205379188267.88025,205379188268.5696,205379188269.12283,205379188269.56677,205379188269.9229,205379188270.20877,205379188270.43814,205379188270.6222,205379188270.76984,205379188270.8882,205379188270.98337,205379188271.05966,205379188271.12094,205379188271.17007,205379188271.2094,205379188271.24106,205379188271.26645,205379188271.28687,205379188271.30322,205379188271.31613,205379188271.32678,205379188271.3352,205379188271.342,205379188271.34747,205379188271.35178,205379188271.35522,205379188271.3581,205379188271.3604,205379188271.36212,205379188271.36356,205379188271.36475,205379188271.36575,205379188271.3665,205379188271.36707,205379188271.36755,205379188271.36795,205379188271.36823,205379188271.36844,205379188271.36862
0.30000000000000004,0.0,0.0,0.0,24875473868.78974,63706812460.09909,104436838721.26248,141325775291.73456,172678870445.49057,198557120355.2932,219619113963.9402,236643420474.69424,250356376702.09344,261382338340.2908,270239501785.11606,277350912489.8548,283059118135.7122,287640320461.315,291316732156.69525,294266917719.56586,296634274465.5159,298533917733.42334,300058240825.424,301281391953.0591,302262873538.06384,303050433445.71136,303682386345.89166,304189477035.6523,304596375881.5695,304922878915.01984,305184870866.6711,305395097948.12177,305563787957.2606,305699147867.1489,305807763102.63464,305894917928.1622,305964852533.1985,306020969322.43506,306065998446.86084,306102130628.92786,306131123743.8786,306154388342.53674,306173056276.3413,306188035763.3137,306200055573.9845,306209700486.9799,306217439739.2222,306223649854.8861,306228632963.7644,306232631500.25494,306235839998.09357,306238414554.6608,306240480425.3115,306242138117.20294,306243468279.0916,306244535624.99585,306245392082.6107,306246079319.657,306246630771.06494,306247073265.6263,306247428331.2477,306247713242.30994,306247941860.08795,306248125307.1185,306248272508.3265,306248390625.23236,306248485404.369,306248561456.85876,306248622482.7491,306248671451.0244,306248710744.05255,306248742273.48724,306248767573.2747,306248787874.28094,306248804164.1743,306248817235.47906,306248827724.12976,306248836140.41235,306248842893.7893,306248848312.8209,306248852661.1496,306248856150.32715,306248858950.1062,306248861196.6993,306248862999.40607,306248864445.93066,306248865606.6481,306248866538.0287,306248867285.38513,306248867885.07764,306248868366.28174,306248868752.40857,306248869062.24365,306248869310.86096,306248869510.3559,306248869670.43427,306248869798.88403,306248869901.95435,306248869984.66003,306248870051.0245,306248870104.2765,306248870147.007,306248870181.2946,306248870208.8075,306248870230.88446,306248870248.5995,306248870262.8142,306248870274.22034,306248870283.373,306248870290.7171,306248870296.6103,306248870301.3389,306248870305.1333,306248870308.178,306248870310.62115,306248870312.58154,306248870314.15454,306248870315.4169,306248870316.4299,306248870317.24255,306248870317.8947,306248870318.4181,306248870318.83777,306248870319.17474,306248870319.4452,306248870319.6622,306248870319.8361,306248870319.9759,306248870320.088,306248870320.1779,306248870320.25006,306248870320.30804,306248870320.35443,306248870320.3917,306248870320.42163,306248870320.4457,306248870320.4649,306248870320.4803,306248870320.49286,306248870320.50287,306248870320.5107,306248870320.5172,306248870320.5223,306248870320.5265,306248870320.52966,306248870320.5324,306248870320.53455,306248870320.5361,306248870320.53754,306248870320.5387,306248870320.5397,306248870320.5403,306248870320.5409,306248870320.54126,306248870320.5417,306248870320.5419
0.4,0.0,0.0,0.0,35849348329.50465,88752761630.5036,142708590842.09818,190944357386.30353,231706867382.86743,265269268907.68365,292557489717.896,314605220111.049,332361504559.1104,346637551186.7045,358105198936.4881,367312466310.90094,374702947994.55865,380634275044.9458,385394157717.745,389213788001.2875,392278824552.23846,394738308456.7204,396711862183.02795,398295486063.87537,399566218386.0526,400585878708.3867,401404073351.6083,402060607858.8628,402587423157.7539,403010149333.7501,403349352478.94635,403621535218.8506,403839939567.9237,404015191162.01984,404155816205.1199,404268656278.07416,404359201189.23175,404431856060.0675,404490155639.63214,404536936274.39044,404574473899.9484,404604594768.1155,404628764296.3047,404648158361.8948,404663720510.1154,404676207858.68665,404686227932.5305,404694268220.6081,404700719892.85876,404705896831.10114,404710050899.77155,404713384199.43805,404716058899.2441,404718205126.6369,404719927298.2282,404721309199.79205,404722418062.5448,404723307834.0287,404724021802.72424,404724594704.0904,404725054410.485,404725423287.19196,404725719280.51855,404725956790.9056,404726147373.5261,404726300300.46027,404726423011.792,404726521477.57874,404726600488.3032,404726663887.9346,404726714760.9425,404726755582.3624,404726788338.2065,404726814622.0868,404726835712.7466,404726852636.2727,404726866216.01544,404726877112.6459,404726885856.2989,404726892872.36395,404726898502.1813,404726903019.64825,404726906644.54535,404726909553.2279,404726911887.20734,404726913760.03467,404726915262.8252,404726916468.69135,404726917436.2999,404726918212.7268,404726918835.7455,404726919335.667,404726919736.81305,404726920058.6999,404726920316.98785,404726920524.2426,404726920690.5477,404726920823.9938,404726920931.07324,404726921016.996,404726921085.94165,404726921141.2652,404726921185.6576,404726921221.27893,404726921249.8621,404726921272.7979,404726921291.2019,404726921305.9694,404726921317.8193,404726921327.3279,404726921334.95764,404726921341.08014,404726921345.9926,404726921349.9348,404726921353.09784,404726921355.6359,404726921357.6728,404726921359.30676,404726921360.6183,404726921361.6705,404726921362.51495,404726921363.1923,404726921363.73615,404726921364.1722,404726921364.5225,404726921364.80316,404726921365.0286,404726921365.2096,404726921365.35455,404726921365.47107,404726921365.56464,404726921365.6395,404726921365.69965,404726921365.74786,404726921365.7866,404726921365.81757,404726921365.8426,404726921365.8626,404726921365.8787,404726921365.8918,404726921365.902,404726921365.9104,404726921365.91693,404726921365.9221,404726921365.9265,404726921365.9299,404726921365.9327,404726921365.9349,404726921365.93677,404726921365.9383,404726921365.9394,404726921365.94006,404726921365.941,404726921365.9414,404726921365.9419,404726921365.9423
0.5,0.0,0.0,0.0,49177728123.11929,116784225024.42648,183433878426.21725,242117275912.85092,291384400980.02094,331837508760.3096,364690841619.67694,391222614070.6705,412586136626.364,429761105778.72644,443556981400.22156,454633428537.401,463524219664.3244,470659626150.1322,476385776850.55096,480980800246.2705,484668045345.3932,487626809266.5079,490000998195.9802,491906100757.9521,493434794171.3462,494661447487.52954,495645737206.35596,496435549472.6582,497069309283.4756,497577849680.6209,497985911712.1781,498313348068.1563,498576088917.2474,498786916919.67834,498956089115.12366,499091835938.4137,499200761639.47845,499288165587.8657,499358300093.4353,499414577286.4013,499459735121.6448,499495970583.5812,499525046572.15704,499548377670.1047,499567098964.1382,499582121268.3206,499594175436.29315,499603847918.20746,499611609292.2477,499617837158.84155,499622834511.38617,499626844477.25195,499630062146.2273,499632644061.8801,499634715837.5939,499636378267.81445,499637712231.8241,499638782628.6185,499639641534.3231,499640330735.7605,499640883763.4314,499641327522.8146,499641683603.35175,499641969328.8008,499642198600.0574,499642382571.4512,499642530193.4177,499642648647.9476,499642743697.99994,499642819967.8773,499642881168.2032,499642930276.4491,499642969681.7919,499643001301.3502,499643026673.4543,499643047032.4887,499643063368.945,499643076477.6125,499643086996.2438,499643095436.5834,499643102209.2644,499643107643.78546,499643112004.5436,499643115503.69434,499643118311.47626,499643120564.4911,499643122372.3508,499643123823.00995,499643124987.04517,499643125921.088,499643126670.58105,499643127271.98737,499643127754.5671,499643128141.7974,499643128452.5183,499643128701.84607,499643128901.91156,499643129062.4474,499643129191.2644,499643129294.62933,499643129377.57117,499643129444.1253,499643129497.52966,499643129540.3822,499643129574.7678,499643129602.35944,499643129624.4994,499643129642.265,499643129656.52045,499643129667.9593,499643129677.1381,499643129684.5032,499643129690.4131,499643129695.1552,499643129698.9607,499643129702.01404,499643129704.4642,499643129706.43024,499643129708.00757,499643129709.2736,499643129710.2893,499643129711.10425,499643129711.75836,499643129712.28314,499643129712.7042,499643129713.04224,499643129713.31335,499643129713.53094,499643129713.70557,499643129713.8455,499643129713.9582,499643129714.0483,499643129714.12054,499643129714.1785,499643129714.2252,499643129714.2626,499643129714.2925,499643129714.3167,499643129714.3362,499643129714.35156,499643129714.36395,499643129714.3739,499643129714.38196,499643129714.3883,499643129714.3935,499643129714.39777,499643129714.401,499643129714.40375,499643129714.4059,499643129714.40753,499643129714.4088,499643129714.4098,499643129714.41077,499643129714.41156,499643129714.41223,499643129714.41254
0.6000000000000001,0.0,0.0,0.0,65446353878.605545,148075378800.61478,226483545931.25406,294404259684.7874,351039742240.6597,397412510061.10504,435030117493.1403,465395251424.4014,489840812256.3797,509492068022.7612,525276556902.5597,537949472111.8589,548121660517.34033,556285451776.7961,562836874532.1335,568094146585.9285,572312808107.3635,575697997484.8218,578414361215.0466,580594032513.0743,582343045513.2485,583746487547.8734,584872635862.841,585776278088.9839,586501377141.8654,587083209807.8357,587550082884.2567,587924710286.527,588225318083.9445,588466531209.5922,588660084976.4805,588815396012.7993,588940020391.5074,589040021242.1599,589120263729.4438,589184651749.3535,589236317858.5085,589277775676.8826,589311042178.5087,589337735819.7513,589359155279.2058,589376342640.0143,589390134088.4948,589401200595.6399,589410080560.6823,589417206004.8828,589422923589.897,589427511483.2936,589431192891.7493,589434146920.33,589436517286.1722,589438419310.5001,589439945529.1459,589441170194.5293,589442152888.1339,589442941419.2162,589443574150.7866,589444081866.0172,589444489265.8805,589444816170.8827,589445078485.3561,589445288971.2233,589445457868.8818,589445593395.4109,589445702144.3435,589445789406.4495,589445859427.1383,589445915613.0023,589445960697.5535,589445996874.2113,589446025903.0144,589446049196.2498,589446067887.162,589446082885.0873,589446094919.6932,589446104576.4785,589446112325.2568,589446118543.017,589446123532.2595,589446127535.718,589446130748.1649,589446133325.8906,589446135394.3042,589446137054.0369,589446138385.8356,589446139454.4955,589446140312.0073,589446141000.0903,589446141552.2206,589446141995.2598,589446142350.7625,589446142636.0242,589446142864.9233,589446143048.5963,589446143195.9785,589446143314.2407,589446143409.1366,589446143485.2831,589446143546.3838,589446143595.4124,589446143634.7538,589446143666.3219,589446143691.6531,589446143711.9788,589446143728.2888,589446143741.3761,589446143751.8777,589446143760.3047,589446143767.0663,589446143772.4918,589446143776.8456,589446143780.3391,589446143783.1422,589446143785.3917,589446143787.1964,589446143788.6448,589446143789.807,589446143790.7396,589446143791.4877,589446143792.0881,589446143792.5698,589446143792.9569,589446143793.2667,589446143793.5159,589446143793.7156,589446143793.8759,589446143794.0045,589446143794.1077,589446143794.1902,589446143794.257,589446143794.3102,589446143794.353,589446143794.3872,589446143794.4148,589446143794.4369,589446143794.4548,589446143794.4689,589446143794.4803,589446143794.4895,589446143794.4967,589446143794.5027,589446143794.5074,589446143794.5111,589446143794.5143,589446143794.5166,589446143794.5184,589446143794.52,589446143794.5212,589446143794.5225,589446143794.5232,589446143794.5239,589446143794.5243
0.7000000000000001,0.0,0.0,0.0,85084646674.78902,182362518584.18558,271048629679.38354,346659547473.51526,409305959902.80994,460468023249.177,501927266526.27124,535379228999.69354,562305266702.5095,583949047717.3597,601333520818.4554,615290866761.0598,626493983174.9006,635485140764.998,642700518180.623,648490587525.4752,653136788059.1031,656865048307.4425,659856700952.0067,662257270245.9904,664183536328.6079,665729209681.1405,666969487083.2991,667964708598.6697,668763292548.4713,669404090832.0399,669918278988.7216,670330872867.3221,670661945651.4332,670927604432.6042,671140773834.8265,671311824811.0122,671449079201.5552,671559214601.646,671647589234.2981,671718502634.4095,671775404826.3988,671821064172.1316,671857702055.1326,671887100953.632,671910691160.3287,671929620367.898,671944809505.6534,671956997543.8961,671966777445.7305,671974625015.4532,671980922047.0187,671985974898.7842,671990029398.2266,671993282801.7473,671995893391.4443,671997988175.7288,671999669068.4414,672001017847.0881,672002100131.4147,672002968575.8894,672003665431.4086,672004224600.8519,672004673288.5048,672005033323.5743,672005322222.2115,672005554039.6914,672005740054.2211,672005889315.636,672006009085.6893,672006105191.3414,672006182308.2511,672006244188.251,672006293841.8798,672006333684.8477,672006365655.5638,672006391309.4435,672006411894.5795,672006428412.4641,672006441666.713,672006452302.1611,672006460836.2368,672006467684.1332,672006473179.0087,672006477588.196,672006481126.2078,672006483965.1719,672006486243.2083,672006488071.1456,672006489537.9156,672006490714.8782,672006491659.2942,672006492417.1106,672006493025.1962,672006493513.1353,672006493904.6663,672006494218.8378,672006494470.9346,672006494673.2214,672006494835.5403,672006494965.7877,672006495070.3009,672006495154.164,672006495221.4573,672006495275.4545,672006495318.783,672006495353.5507,672006495381.4486,672006495403.8346,672006495421.7975,672006495436.2112,672006495447.777,672006495457.0576,672006495464.5045,672006495470.48,672006495475.275,672006495479.1224,672006495482.2101,672006495484.6873,672006495486.6753,672006495488.2701,672006495489.5499,672006495490.577,672006495491.4016,672006495492.0626,672006495492.593,672006495493.0188,672006495493.3606,672006495493.6348,672006495493.8547,672006495494.0315,672006495494.1729,672006495494.2869,672006495494.3774,672006495494.4507,672006495494.5095,672006495494.5565,672006495494.5945,672006495494.6249,672006495494.6492,672006495494.669,672006495494.6844,672006495494.6971,672006495494.7073,672006495494.7153,672006495494.7218,672006495494.727,672006495494.7311,672006495494.7346,672006495494.7373,672006495494.7393,672006495494.741,672006495494.7422,672006495494.7433,672006495494.7445,672006495494.7452,672006495494.7457
0.8,0.0,0.0,0.0,108067179123.04793,218422686381.13,315245329578.69434,396662700998.4575,463764995912.9205,518451719317.43945,562730041651.5671,598444570519.3646,627187893009.3541,650291198437.6721,668847573446.3328,683745667934.2604,695703852543.5975,705300983721.4146,713002649068.3153,719182944920.665,724142279570.5231,728121808543.064,731315085683.2498,733877442989.5459,735933531090.5557,737583376153.202,738907242896.6465,739969538044.5807,740821943104.1084,741505928424.8451,742054770642.8768,742495171567.1965,742848557227.2888,743132120263.1195,743359656362.5249,743542235435.8577,743688740179.6193,743806298230.08,743900628931.3452,743976321588.3997,744037058742.4093,744085795330.874,744124902448.9766,744156282706.2812,744181462791.0402,744201667745.4579,744217880565.5072,744230890024.8956,744241329049.8813,744249705511.9154,744256426936.216,744261820328.3712,744266148083.5669,744269620752.436,744272407284.6056,744274643248.3042,744276437425.9277,744277877106.4308,744279032332.0466,744279959305.929,744280703126.501,744281299981.5505,744281778908.8131,744282163208.6919,744282471577.8496,744282719018.8268,744282917569.9323,744283076890.9225,744283204732.96,744283307315.7183,744283389629.9744,744283455680.4194,744283508680.4878,744283551208.6993,744283585334.104,744283612716.9445,744283634689.4299,744283652320.5485,744283666468.0767,744283677820.3079,744283686929.5438,744283694238.9586,744283700104.1654,744283704810.5125,744283708586.971,744283711617.269,744283714048.8351,744283715999.9674,744283717565.5912,744283718821.8762,744283719829.9415,744283720638.8318,744283721287.9,744283721808.724,744283722226.642,744283722561.9873,744283722831.0745,744283723046.995,744283723220.2534,744283723359.279,744283723470.8354,744283723560.3511,744283723632.1794,744283723689.8159,744283723736.0647,744283723773.175,744283723802.9535,744283723826.8481,744283723846.0215,744283723861.4065,744283723873.7521,744283723883.6582,744283723891.6073,744283723897.9854,744283723903.1034,744283723907.2102,744283723910.5055,744283723913.1498,744283723915.2716,744283723916.9744,744283723918.3405,744283723919.4368,744283723920.3164,744283723921.0223,744283723921.5887,744283723922.0431,744283723922.4077,744283723922.7003,744283723922.935,744283723923.1237,744283723923.2747,744283723923.3961,744283723923.4932,744283723923.5714,744283723923.6342,744283723923.6844,744283723923.725,744283723923.7573,744283723923.7833,744283723923.804,744283723923.8207,744283723923.8341,744283723923.845,744283723923.854,744283723923.8607,744283723923.8662,744283723923.8707,744283723923.8741,744283723923.8768,744283723923.8795,744283723923.8815,744283723923.8824,744283723923.8838,744283723923.885,744283723923.8857,744283723923.8865
0.9,0.0,0.0,0.0,133175465877.24048,253239026256.5141,355356078948.2824,440398837847.4857,510243721203.2325,567088164623.0967,613088605326.535,650184123262.1945,680036277071.3065,704030003634.7808,723301289869.291,738773269768.9398,751192065217.4276,761158854495.6365,769157166496.4631,775575509235.1769,780725862651.8209,784858671115.4972,788174943663.1584,790835995238.6813,792971277644.5692,794684669756.1447,796059527847.9216,797162739396.2988,798047976524.01,798758306893.2994,799328288855.769,799785652693.444,800152649701.7467,800447134729.2031,800683434831.8745,800873046299.6243,801025193963.5914,801147279995.0663,801245244030.0146,801323852139.5853,801386928705.3085,801437542479.9502,801478155886.1168,801510744816.1477,801536894761.7139,801557877949.946,801574715238.852,801588225783.3208,801599066888.0175,801607765986.0677,801614746299.3293,801620347428.6598,801624841875.9135,801628448301.4982,801631342162.4695,801633664248.7368,801635527532.6625,801637022665.3097,801638222386.7273,801639185064.8436,801639957535.1367,801640577379.24,801641074753.3347,801641473855.284,801641794101.8901,801642051073.5463,801642257272.2407,801642422729.794,801642555495.9207,801642662029.8566,801642747514.6095,801642816109.1178,801642871150.5892,801642915316.8595,801642950756.6714,801642979194.2161,801643002013.0151,801643020323.2313,801643035015.6794,801643046805.1647,801643056265.2604,801643063856.212,801643069947.3285,801643074834.9502,801643078756.866,801643081903.8823,801643084429.1049,801643086455.3889,801643088081.316,801643089385.989,801643090432.8824,801643091272.9285,801643091946.9965,801643092487.8811,801643092921.8965,801643093270.1581,801643093549.6099,801643093773.8466,801643093953.7786,801643094098.159,801643094214.0127,801643094306.9756,801643094381.5708,801643094441.4271,801643094489.4573,801643094527.9971,801643094558.9226,801643094583.7375,801643094603.6498,801643094619.6272,801643094632.448,801643094642.7356,801643094650.9907,801643094657.615,801643094662.9299,801643094667.1947,801643094670.6172,801643094673.3633,801643094675.5669,801643094677.3351,801643094678.7537,801643094679.8925,801643094680.8059,801643094681.5388,801643094682.1271,801643094682.5989,801643094682.9778,801643094683.2814,801643094683.5258,801643094683.7214,801643094683.8782,801643094684.0044,801643094684.1052,801643094684.186,801643094684.2518,801643094684.3036,801643094684.3453,801643094684.3792,801643094684.4062,801643094684.4282,801643094684.4454,801643094684.4591,801643094684.4705,801643094684.4795,801643094684.4868,801643094684.4926,801643094684.4971,801643094684.5009,801643094684.5037,801643094684.5062,801643094684.5079,801643094684.5096,801643094684.5109,801643094684.5118,801643094684.5127,801643094684.5132
